"","dyad","indv1","ind2","Estimator","Relatedness","CI2.5","CI97.5"
"161",62,"VE_18","VE_32","wang",-0.6327,-1.3944,0.0994
"162",91,"VE_21","VE_25","wang",-0.5754,-1.2573,0.2577
"163",130,"VE_25","VE_30","wang",-0.5647,-1.3139,0.5904
"164",109,"VE_23","VE_24","wang",-0.548,-1.3523,0.7092
"165",49,"VE_18","VE_19","wang",-0.5235,-1.4213,0.2314
"166",114,"VE_23","VE_29","wang",-0.5133,-1.2434,0.1101
"167",63,"VE_19","VE_20","wang",-0.5053,-1.4181,0.3143
"168",80,"VE_20","VE_25","wang",-0.4715,-1.2446,0.1172
"169",36,"VE_17","VE_20","wang",-0.4597,-1.1838,0.2778
"170",24,"VE_16","VE_23","wang",-0.4369,-1.0877,0.2427
"171",53,"VE_18","VE_23","wang",-0.4248,-1.6418,0.8492
"172",146,"VE_28","VE_31","wang",-0.4087,-1.1818,0.2931
"173",83,"VE_20","VE_28","wang",-0.399,-1.0932,0.2962
"174",50,"VE_18","VE_20","wang",-0.3946,-1.2699,0.3468
"175",51,"VE_18","VE_21","wang",-0.3857,-1.3729,0.2194
"176",19,"VE_16","VE_18","wang",-0.3689,-0.9599,0.4638
"177",134,"VE_26","VE_28","wang",-0.3663,-1.1572,0.3236
"178",70,"VE_19","VE_27","wang",-0.3622,-1.1545,0.2936
"179",136,"VE_26","VE_30","wang",-0.3541,-1.225,0.2986
"180",103,"VE_22","VE_27","wang",-0.3537,-1.486,0.448
"181",129,"VE_25","VE_29","wang",-0.3537,-0.9908,0.3539
"182",127,"VE_25","VE_27","wang",-0.3525,-1.0882,0.4307
"183",43,"VE_17","VE_27","wang",-0.3521,-0.9923,0.358
"184",118,"VE_24","VE_25","wang",-0.3501,-1.2696,0.3896
"185",87,"VE_20","VE_32","wang",-0.3416,-0.8475,0.0369
"186",126,"VE_25","VE_26","wang",-0.3416,-0.8955,0.0523
"187",67,"VE_19","VE_24","wang",-0.34,-1.0379,0.4103
"188",3,"VE_15","VE_18","wang",-0.301,-0.9151,0.4304
"189",99,"VE_22","VE_23","wang",-0.2916,-1.182,0.4394
"190",55,"VE_18","VE_25","wang",-0.2712,-1.0846,0.5061
"191",140,"VE_27","VE_29","wang",-0.2603,-1.1439,0.5238
"192",138,"VE_26","VE_32","wang",-0.2569,-0.711,0.2161
"193",64,"VE_19","VE_21","wang",-0.2532,-1.0857,0.3942
"194",150,"VE_29","VE_32","wang",-0.2516,-0.8214,0.2034
"195",59,"VE_18","VE_29","wang",-0.2478,-1.2961,0.565
"196",73,"VE_19","VE_30","wang",-0.2425,-0.9849,0.5093
"197",79,"VE_20","VE_24","wang",-0.2389,-1.2078,0.5218
"198",72,"VE_19","VE_29","wang",-0.2355,-0.9388,0.5722
"199",5,"VE_15","VE_20","wang",-0.2291,-0.8924,0.2109
"200",69,"VE_19","VE_26","wang",-0.2235,-0.886,0.2509
"201",148,"VE_29","VE_30","wang",-0.2233,-0.887,0.668
"202",89,"VE_21","VE_23","wang",-0.2213,-0.6893,0.2576
"203",128,"VE_25","VE_28","wang",-0.2096,-0.8898,0.6136
"204",112,"VE_23","VE_27","wang",-0.1899,-0.9336,0.4594
"205",94,"VE_21","VE_28","wang",-0.1866,-0.8447,0.307
"206",29,"VE_16","VE_28","wang",-0.171,-0.8012,0.3344
"207",116,"VE_23","VE_31","wang",-0.1698,-0.9023,0.3359
"208",93,"VE_21","VE_27","wang",-0.1669,-1.0016,0.3083
"209",34,"VE_17","VE_18","wang",-0.1567,-0.9215,0.7782
"210",71,"VE_19","VE_28","wang",-0.1562,-0.6776,0.3329
"211",26,"VE_16","VE_25","wang",-0.1357,-0.5794,0.3763
"212",46,"VE_17","VE_30","wang",-0.1322,-0.9476,0.5806
"213",152,"VE_30","VE_32","wang",-0.1227,-0.6556,0.4047
"214",39,"VE_17","VE_23","wang",-0.1206,-0.6252,0.4233
"215",84,"VE_20","VE_29","wang",-0.113,-0.9372,0.7412
"216",81,"VE_20","VE_26","wang",-0.1097,-0.7661,0.7658
"217",27,"VE_16","VE_26","wang",-0.1074,-1.0054,0.3891
"218",65,"VE_19","VE_22","wang",-0.1067,-0.7797,0.381
"219",105,"VE_22","VE_29","wang",-0.1056,-0.6378,0.797
"220",143,"VE_27","VE_32","wang",-0.0999,-0.9409,0.4129
"221",23,"VE_16","VE_22","wang",-0.0862,-0.7528,0.3838
"222",85,"VE_20","VE_30","wang",-0.0858,-0.9264,0.7397
"223",58,"VE_18","VE_28","wang",-0.0794,-0.8595,0.8046
"224",54,"VE_18","VE_24","wang",-0.0672,-0.879,0.8006
"225",60,"VE_18","VE_30","wang",-0.0672,-0.8536,0.8625
"226",131,"VE_25","VE_31","wang",-0.0613,-0.6613,0.534
"227",28,"VE_16","VE_27","wang",-0.0566,-0.8193,0.4156
"228",74,"VE_19","VE_31","wang",-0.0512,-0.7039,0.5228
"229",119,"VE_24","VE_26","wang",-0.042,-0.8862,0.4705
"230",111,"VE_23","VE_26","wang",-0.0264,-0.65,0.5315
"231",10,"VE_15","VE_25","wang",-0.0253,-0.6854,0.5034
"232",144,"VE_28","VE_29","wang",-0.0209,-0.6007,0.6179
"233",38,"VE_17","VE_22","wang",-0.0146,-0.6906,0.5248
"234",82,"VE_20","VE_27","wang",-0.0045,-0.7761,0.5715
"235",125,"VE_24","VE_32","wang",0.0025,-0.5968,0.4744
"236",61,"VE_18","VE_31","wang",0.0164,-0.7027,0.5006
"237",101,"VE_22","VE_25","wang",0.0177,-0.7749,0.6107
"238",102,"VE_22","VE_26","wang",0.0305,-0.9402,0.5565
"239",35,"VE_17","VE_19","wang",0.039,-0.6246,0.7118
"240",133,"VE_26","VE_27","wang",0.039,-0.5936,0.7479
"241",4,"VE_15","VE_19","wang",0.0404,-0.1769,0.2366
"242",66,"VE_19","VE_23","wang",0.0511,-0.1589,0.2593
"243",149,"VE_29","VE_31","wang",0.0617,-0.9852,0.5476
"244",137,"VE_26","VE_31","wang",0.065,-0.8899,0.6765
"245",88,"VE_21","VE_22","wang",0.0686,-0.124,0.3148
"246",153,"VE_31","VE_32","wang",0.0686,-0.1615,0.2792
"247",44,"VE_17","VE_28","wang",0.0702,-0.8037,0.6717
"248",90,"VE_21","VE_24","wang",0.0821,-0.6072,0.5634
"249",31,"VE_16","VE_30","wang",0.0825,-0.6339,0.7327
"250",123,"VE_24","VE_30","wang",0.0886,-1.1271,0.73
"251",76,"VE_20","VE_21","wang",0.1092,-0.6905,0.6571
"252",20,"VE_16","VE_19","wang",0.1107,-0.501,0.7427
"253",8,"VE_15","VE_23","wang",0.117,-0.5693,0.756
"254",33,"VE_16","VE_32","wang",0.1359,-0.1231,0.449
"255",75,"VE_19","VE_32","wang",0.1411,-0.1124,0.4219
"256",147,"VE_28","VE_32","wang",0.143,-0.5094,0.6614
"257",95,"VE_21","VE_29","wang",0.1517,-0.5889,0.7177
"258",41,"VE_17","VE_25","wang",0.1572,-0.5548,1
"259",107,"VE_22","VE_31","wang",0.1586,-0.0516,0.4464
"260",1,"VE_15","VE_16","wang",0.163,-0.2111,0.4138
"261",12,"VE_15","VE_27","wang",0.1657,-0.1261,0.4509
"262",77,"VE_20","VE_22","wang",0.1682,-0.0996,0.4751
"263",37,"VE_17","VE_21","wang",0.1691,-0.6065,0.6322
"264",142,"VE_27","VE_31","wang",0.1693,-0.1498,0.6241
"265",56,"VE_18","VE_26","wang",0.171,-0.6355,0.6632
"266",124,"VE_24","VE_31","wang",0.1721,-0.852,0.66
"267",92,"VE_21","VE_26","wang",0.1916,-0.0842,0.4764
"268",13,"VE_15","VE_28","wang",0.1938,-0.0148,0.4627
"269",100,"VE_22","VE_24","wang",0.2003,-0.5398,0.901
"270",22,"VE_16","VE_21","wang",0.2039,-0.16,0.5033
"271",117,"VE_23","VE_32","wang",0.2051,-0.4795,0.8597
"272",47,"VE_17","VE_31","wang",0.207,-0.5793,0.7874
"273",15,"VE_15","VE_30","wang",0.209,-0.0728,0.4717
"274",132,"VE_25","VE_32","wang",0.2159,-0.2753,0.8695
"275",42,"VE_17","VE_26","wang",0.2191,-0.0703,0.508
"276",108,"VE_22","VE_32","wang",0.2277,-0.5182,0.8695
"277",48,"VE_17","VE_32","wang",0.2593,0.059,0.5507
"278",145,"VE_28","VE_30","wang",0.2661,-0.6642,0.7561
"279",11,"VE_15","VE_26","wang",0.2763,-0.0085,0.5784
"280",7,"VE_15","VE_22","wang",0.2786,-0.0135,0.6445
"281",14,"VE_15","VE_29","wang",0.2816,-0.0017,0.6375
"282",121,"VE_24","VE_28","wang",0.285,-0.5549,0.8755
"283",98,"VE_21","VE_32","wang",0.2927,-0.0686,0.781
"284",110,"VE_23","VE_25","wang",0.3135,-0.0623,0.6891
"285",52,"VE_18","VE_22","wang",0.3175,-0.2181,0.8568
"286",151,"VE_30","VE_31","wang",0.3252,-0.2814,0.8917
"287",30,"VE_16","VE_29","wang",0.328,0.0118,0.7525
"288",86,"VE_20","VE_31","wang",0.3333,-0.6009,0.872
"289",9,"VE_15","VE_24","wang",0.3343,0.0501,0.6457
"290",68,"VE_19","VE_25","wang",0.3511,0.0575,0.72
"291",106,"VE_22","VE_30","wang",0.3871,0.0375,0.8547
"292",25,"VE_16","VE_24","wang",0.4035,0.0141,0.7323
"293",21,"VE_16","VE_20","wang",0.4121,0.1227,0.7788
"294",32,"VE_16","VE_31","wang",0.4218,-0.0791,0.7358
"295",2,"VE_15","VE_17","wang",0.4268,0.1139,0.7487
"296",16,"VE_15","VE_31","wang",0.4375,0.1208,0.7597
"297",122,"VE_24","VE_29","wang",0.4376,0.0667,0.7229
"298",18,"VE_16","VE_17","wang",0.4384,-0.0019,0.8207
"299",40,"VE_17","VE_24","wang",0.5286,0.1821,0.8863
"300",6,"VE_15","VE_21","wang",0.5339,0.2522,0.8088
"301",96,"VE_21","VE_30","wang",0.5473,0.2313,0.8563
"302",135,"VE_26","VE_29","wang",0.5658,0.2714,0.9008
"303",17,"VE_15","VE_32","wang",0.631,0.3177,1
"304",97,"VE_21","VE_31","wang",0.648,0.2748,1
"305",45,"VE_17","VE_29","wang",0.6533,0.2881,1
"306",104,"VE_22","VE_28","wang",0.7811,0.4789,1
"307",139,"VE_27","VE_28","lynchli",-1.0366,-2.3353,-0.2389
"308",78,"VE_20","VE_23","lynchli",-1.0366,-2.2165,-0.2844
"309",141,"VE_27","VE_30","lynchli",-0.7311,-1.4758,0.0783
"310",57,"VE_18","VE_27","lynchli",-0.7311,-1.8683,0.0769
"311",120,"VE_24","VE_27","lynchli",-0.7311,-1.7263,0.304
"312",113,"VE_23","VE_28","lynchli",-0.6293,-1.4298,0.252
"313",115,"VE_23","VE_30","lynchli",-0.7311,-1.4009,-0.1129
"314",62,"VE_18","VE_32","lynchli",-0.5275,-1.3124,0.1481
