(1)Parameters in simulations

  SmplSize   NumLoci Constrain KnownAlleleFre
        18         9         1         0

 Number of observed alleles at each locus
  3  4  2  3  3  4  3  2  2

 Allele frequency

 Locus:        1
     127     121     125
  0.8056  0.1667  0.0278

 Locus:        2
     288     286     290     274
  0.7500  0.0833  0.0278  0.1389

 Locus: 3
227 229
0.4722 0.5278

 Locus:        4
     291     307     303
  0.2500  0.4167  0.3333

 Locus:        5
     166     172     160
  0.1111  0.6944  0.1944

 Locus:        6
     257     261     251     249
  0.3056  0.5833  0.0278  0.0833

 Locus:        7
     359     361     355
  0.7222  0.1944  0.0833

 Locus: 8
133 137
0.3333 0.6667

 Locus: 9
247 255
0.7778 0.2222


(2)Point estimate of R for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
89,VE_21,VE_23,0.0116,-0.2213,-0.3238,0.0222,-0.0409,-0.2587,0.0176,0.0000
90,VE_21,VE_24,0.0000,0.0821,0.0835,-0.1068,-0.2564,-0.0693,0.0000,0.0000
91,VE_21,VE_25,0.0000,-0.5754,-0.6293,-0.4831,-0.4852,-0.5048,0.0000,0.0000
92,VE_21,VE_26,0.0000,0.1916,0.1853,-0.0250,0.0856,0.0040,0.0000,0.0000
93,VE_21,VE_27,0.0000,-0.1669,-0.1201,-0.0254,0.3033,-0.0693,0.0000,0.0000
94,VE_21,VE_28,0.0000,-0.1866,-0.1201,-0.2042,-0.3198,-0.2414,0.0000,0.0000
95,VE_21,VE_29,0.0000,0.1517,0.1853,-0.0529,-0.0894,-0.0105,0.0000,0.0000
96,VE_21,VE_30,0.5000,0.5473,0.5927,0.4409,0.3800,0.5714,0.5000,0.0000
97,VE_21,VE_31,0.3047,0.6480,0.4908,0.3823,0.3712,0.5663,0.4370,0.0000
98,VE_21,VE_32,0.0588,0.2927,0.1853,0.2028,0.0731,-0.1020,0.1962,0.0000
99,VE_22,VE_23,0.0000,-0.2916,-0.2220,-0.2109,-0.2043,-0.3378,0.0000,0.0000
100,VE_22,VE_24,0.1504,0.2003,0.2872,0.1379,0.1459,0.3099,0.2124,0.0000
101,VE_22,VE_25,0.0311,0.0177,0.0835,0.0438,0.0232,-0.0093,0.0468,0.0000
102,VE_22,VE_26,0.0000,0.0305,-0.1201,-0.3152,-0.3664,-0.2319,0.0000,0.0000
103,VE_22,VE_27,0.0000,-0.3537,-0.5275,-0.3612,-0.3390,-0.4952,0.0000,0.0000
104,VE_22,VE_28,0.5234,0.7811,0.7963,0.8327,0.5568,0.7812,0.7081,0.0000
